game,title,rank,level,skins,emotes,server,cost,list_price,platform,status,notes
Valorant,Immortal EU loaded,Immortal,142,87 skins · Reaver Vandal · RGX Phantom,12 emotes,EU,22,39.9,G2G,Available,Full Access · no bans · 12h warranty
Valorant,Ascendant NA starter,Ascendant,88,41 skins · Champions 2023,6 emotes,NA,14,27.5,Eldorado,Available,Original Email · unlinked
Fortnite,Unreal stacked,Unreal,210,200 skins · rare pickaxes,40 emotes,EU,18,34,PlayerAuctions,Listed,Battle Pass · Full Access
Fortnite,Champion clean,Champion,95,64 skins,18 emotes,NA,11,21.9,PlayHub (PlayOkay),Available,Fresh shop history
League of Legends,Diamond EUW,Diamond,187,80 skins · Elderwood · High Noon,14 emotes,EU,16,29,G2G,Available,No bans · Full Access
League of Legends,Master KR,Master,240,120 skins · prestige,20 emotes,KR,28,49,U7BUY,Listed,Rank ready
GTA V,GTA V cash ready,Rank Ready,,Modded garage + offices,,NA,12,24.5,EpicNPC,Available,Story complete · extra properties
FC 25,FC 25 Ultimate Team,Gold,42,Meta UT squad,,EU,9,18.9,G2G,Available,Tradable club
CS2,CS2 Prime,Gold Nova,,10 skins · AK redline,,EU,8,16.5,Eldorado,Available,Prime · clean
Apex Legends,Apex Predator,Predator,500,Heirloom · 70 skins,25 emotes,NA,32,59,PlayerAuctions,Available,Full Access
Roblox,Roblox limiteds starter,Rank Ready,,Limiteds bundle,,NA,7,14.5,U7BUY,Available,Instant delivery listing
Rocket League,SSL painted,Champion,,120 items · painted wheels,8 goal explosions,EU,10,19.9,PlayHub (PlayOkay),Available,Unlinked
